country,energy_use_2014,energy_import_2014,energy_alternative_2014,energy_renewable_2020
Haiti,399,22,0.074,76.3
Hungary,2310,55.6,19,14.8
Indonesia,880,-103,0.839,22.0
India,631,34.3,2.67,35.8
Ireland,2740,84.3,4.22,13.7
Iran,2960,-33.4,0.909,1.03
Iraq,1350,-229,0.331,1.08
Iceland,17.9k,11,35.4,82.8
Israel,2760,67,5.19,5.61
Italy,2410,75,7.06,18.7
Jamaica,1010,82,0.57,11.4
Jordan,945,96.8,1.92,11.0
Japan,3470,94,2.22,8.45
Kazakhstan,4430,-117,0.609,1.78
Kenya,516,17.2,2.24,72.5
Kyrgyz Republic,650,49.5,22.7,30.0
Cambodia,419,33.1,3.32,51.4
South Korea,5290,81.7,15.6,3.63
Kuwait,9010,-391,0,0.1
Lebanon,1190,97.9,0.523,6.71
Libya,2930,-103,0,3.12
Sri Lanka,504,50.3,3.43,49.3
Lithuania,2390,75,3.81,31.7
Luxembourg,6860,96,2.5,20.8
Latvia,2180,45.2,6.84,43.8
Morocco,554,90.7,1.62,10.9
Moldova,1160,90,0.767,23.7
Mexico,1580,-10.8,3.42,12.3
North Macedonia,1270,51.8,5.53,20.3
Malta,1780,98.4,1.47,9.18
Myanmar,378,-33,3.13,59.8
Montenegro,1540,27.6,13,39.6
Mongolia,1850,-168,0.259,3.98
Mozambique,447,-54.6,9.17,80.9
Mauritius,1110,84.5,0.805,9.41
Malaysia,2930,-5.51,1.18,5.84
Namibia,805,74.4,17.8,31.3
Niger,149,-5.81,0.0119,81.9
Nigeria,751,-93,0.274,82.5
Nicaragua,590,40.9,3.34,52.1
Netherlands,4330,19.8,3.13,10.8
Curaçao,12.7k,99.9,,2.78
Norway,5600,-583,32.3,61.3
Nepal,426,16.7,5.24,74.5
New Zealand,4550,17.1,13.5,28.6
Oman,6070,-206,0,0.05
Pakistan,432,24.1,4.03,46.6
Panama,1080,80.9,8.86,28.4
Peru,783,-14.9,7.18,31.6
Philippines,470,45.8,2.91,29.1
Poland,2470,28.4,0.933,16.1
North Korea,474,-74.8,7.01,12.7
Portugal,2030,71.7,10.7,31.2
Paraguay,848,-36.9,16.3,61.4
Qatar,19.9k,-399,0,0.06
Romania,1590,16.8,14.5,24.1
Russia,4940,-83.7,8.16,3.72
Saudi Arabia,6650,-192,0.0004,0.06
Sudan,405,-8.99,4.37,62.1
Senegal,283,52.7,0.61,38.6
Singapore,5120,97.7,0.193,0.92
El Salvador,655,49.2,6.31,23.7
Serbia,1860,28.8,5.65,26.0
South Sudan,62.4,-1060,0.0246,33.2
Suriname,1210,-43.8,15.2,14.7
Slovak Republic,2940,58.8,28.3,17.6
Slovenia,3240,44.5,31.9,22.4
Sweden,4970,28.3,47.5,58.4
Syria,538,47.8,1.35,1.08
Togo,453,20,2.41,76.6
Thailand,1930,41.6,1.11,20.8
Tajikistan,337,36.2,37.5,38.8
Turkmenistan,4720,-192,0,0.06
Trinidad and Tobago,13.5k,-103,0,0.47
Tunisia,920,36.2,0.798,12.9
Turkey,1560,74.2,4.95,13.7
Tanzania,489,10.7,0.724,84.0
Ukraine,2330,27.2,22.5,8.72
Uruguay,1390,44.4,14.8,61.1
USA,6960,9.21,11.7,11.2
Uzbekistan,,,,1.03
Venezuela,,,,23.3
Vietnam,,,,19.1
Yemen,,,,3.53
South Africa,2690,-14.5,2.66,9.76
Zambia,,,,81.8
Zimbabwe,,,,84.4
