country,work_employment_2020,work_emptopop_2020,work_business_2019,work_taxes_2019
Niger,71.3,72.3,56.8,47.2
Nigeria,48.6,54.8,56.9,34.8
Nicaragua,61.1,60.1,54.4,60.6
Netherlands,61.2,62.1,76.1,41.2
Norway,60.8,60.8,82.6,36.2
Nepal,73.8,34.6,63.2,41.8
New Zealand,66.4,67.0,86.8,34.6
Oman,64.3,63.3,70.0,27.4
Pakistan,47.9,47.8,61.0,33.9
Panama,56.2,54.2,66.6,37.2
Peru,61.1,64.0,68.7,36.8
Philippines,55.1,53.4,62.8,43.1
Papua New Guinea,45.4,45.7,59.8,37.1
Poland,54.6,55.1,76.4,40.8
Puerto Rico,33.7,36.6,70.1,64.4
North Korea,77.0,71.2,,
Portugal,53.8,54.1,76.5,39.8
Paraguay,64.9,64.8,59.1,35.0
Palestine,31.1,30.3,60.0,15.3
French Polynesia,45.7,48.2,,
Qatar,83.3,87.5,68.7,11.3
Romania,52.4,52.3,73.3,20.0
Russia,57.6,58.2,78.2,46.2
Rwanda,79.2,49.6,76.5,33.2
Saudi Arabia,50.6,55.6,70.9,15.7
Sudan,38.6,38.9,44.8,45.4
Senegal,41.1,48.5,59.3,44.8
Singapore,66.0,67.4,86.2,21.0
Solomon Islands,83.2,82.5,55.3,32.0
Sierra Leone,54.5,51.4,47.5,30.7
El Salvador,48.8,52.9,65.3,36.4
Somalia,41.3,27.1,20.0,
Serbia,49.3,49.4,75.7,36.6
South Sudan,60.9,60.3,34.6,31.4
Sao Tome and Principe,47.7,45.3,45.0,37.0
Suriname,44.1,48.5,47.5,27.9
Slovak Republic,55.0,55.1,75.6,49.7
Slovenia,54.4,54.9,76.5,31.0
Sweden,58.8,58.8,82.0,49.1
Eswatini,39.0,37.7,59.5,35.8
Syria,38.8,39.0,42.0,42.7
Chad,66.5,58.3,36.9,63.5
Togo,55.0,55.0,62.3,48.2
Thailand,65.4,66.3,80.1,29.5
Tajikistan,36.0,37.6,61.3,67.3
Turkmenistan,54.1,43.7,,
Timor-Leste,63.9,63.0,39.4,17.3
Tonga,43.6,51.9,61.4,27.5
Trinidad and Tobago,53.1,52.8,61.3,40.5
Tunisia,38.3,37.3,68.7,60.7
Turkey,43.4,42.8,76.8,42.3
Taiwan,56.4,,,
Tanzania,81.4,78.2,54.5,43.8
Uganda,65.3,66.2,60.0,33.7
Ukraine,47.5,49.9,70.2,45.2
Uruguay,53.2,54.9,61.5,41.8
USA,56.3,56.4,84.0,36.6
Uzbekistan,55.8,52.7,69.9,31.6
St. Vincent and the Grenadines,50.9,49.6,57.1,37.0
Venezuela,48.6,47.4,30.2,73.3
Virgin Islands (U.S.),50.8,44.9,,
Vietnam,73.9,71.7,69.8,37.6
Vanuatu,67.2,67.2,61.1,8.5
Samoa,39.2,48.2,62.1,19.3
Yemen,33.0,32.7,31.8,26.6
South Africa,36.7,41.4,67.0,29.2
Zambia,65.2,57.2,66.9,15.6
Zimbabwe,76.3,60.0,54.5,31.6
Antigua and Barbuda,,,60.3,43.0
Dominica,,,60.5,32.6
"Micronesia, Fed. Sts.",,,48.1,60.5
Grenada,,,53.4,47.8
Kiribati,,,46.9,32.7
St. Kitts and Nevis,,,54.6,49.7
Kosovo,,,73.2,15.2
Liechtenstein,,,64.8,21.6
Marshall Islands,,,50.9,65.9
Palau,,,53.7,76.6
San Marino,,,64.2,36.2
Seychelles,,,61.7,30.1
